Country,EdInd,Homicide.rate,Prison.popn,Inequality-adjusted income index,Inequality in income (%),Inequality in education (%),Inequality in life expectancy (%)
Sierra Leone,0.37633333333333335,2.175,46.714285714285715,0.3041111111111111,23.3,47.78888888888889,44.388888888888886
Singapore,0.8224444444444444,0.2875,238.375,0.75,25,9.333333333333334,2.8777777777777778
Slovakia,0.8201111111111111,1.275,187.875,0.7474444444444445,11.71111111111111,1.5333333333333334,5.533333333333333
Slovenia,0.8804444444444445,0.75,65.875,0.765,10.588888888888889,2.7666666666666666,3.6222222222222222
South Africa,0.7042222222222222,32.4,294.7142857142857,0.3308333333333333,54.18333333333333,17.366666666666667,24.877777777777776
South Sudan,0.31033333333333335,13.9,55,0.276,32.3,39.6,38.75
Spain,0.81033333333333335,0.725,140.625,0.6872222222222222,21.244444444444444,9.700000000000001,3.6555555555555554
Sri Lanka,0.7457777777777778,2.95,107.5,0.5708888888888889,18.344444444444445,13.733333333333333,8.555555555555555
Suriname,0.64,6,189,0.4727777777777778,36.266666666666666,18.244444444444444,13.9
Sweden,0.892,0.9625,62.875,0.8056666666666666,12.88888888888889,3.6444444444444444,3.1222222222222222
Switzerland,0.889888888888889,0.6,76.875,0.82,14.68888888888889,3.3222222222222224,3.8555555555555556
Tajikistan,0.6685555555555556,2,122,0.4414444444444445,14.844444444444445,8.355555555555556,24.9
Tanzania (United Republic of),0.41988888888888887,7.628571428571429,70,0.38133333333333336,21.433333333333334,28.58888888888889,29.244444444444444
Thailand,0.6374444444444445,4.285714285714286,419,0.5206666666666666,30.6,16.72222222222222,9.577777777777778
Timor-Leste,0.49933333333333335,3.7,36.75,0.533,17.022222222222222,46.611111111111114,25.288888888888888
Trinidad and Tobago,0.7134444444444444,30.216666666666665,319,0.669375,21.9,6.6,16.233333333333334
Tunisia,0.6434444444444445,2.85,202.75,0.5625714285714285,19.728571428571428,35.51428571428571,11.299999999999999
Turkey,0.6871111111111111,4.233333333333333,215.5,0.6218888888888889,23.544444444444444,18.766666666666666,11.533333333333333
Uganda,0.4971111111111111,10.685714285714285,106.875,0.31122222222222223,26.98888888888889,29.755555555555556,34.93333333333334
Ukraine,0.7922222222222223,5.5,253.2,0.5953333333333333,9.744444444444444,4.344444444444444,9.322222222222223
United Kingdom,0.9025555555555556,1.05,145,0.7342222222222222,18.07777777777778,3.3666666666666667,4.455555555555556
United States,0.8956666666666667,4.8625,704.4285714285714,0.6741111111111111,28.87777777777778,5.155555555555556,6.133333333333333
Uruguay,0.7293333333333333,7.475,284.625,0.5833333333333333,25.91111111111111,9.544444444444444,9.166666666666666
Uzbekistan,0.7004444444444444,1.4,143,0.4807142857142857,19.47142857142857,1.2444444444444445,21.7
Venezuela (Bolivarian Republic of),0.7091111111111111,52.98,161.66666666666666,0.5112222222222222,31.755555555555553,15.8,12.4
Viet Nam,0.6124444444444445,1.5,140.66666666666666,0.48833333333333334,17.766666666666666,17.522222222222222,13.033333333333333
Yemen,0.34022222222222226,5.9,50.333333333333336,0.3983333333333333,19.533333333333335,47.9,27.322222222222223
Zambia,0.5391111111111111,5.7,119,0.31877777777777777,40.422222222222224,22.677777777777777,35.84444444444444
Zimbabwe,0.5525555555555556,5.85,112.16666666666667,0.31366666666666665,32.577777777777776,17.88888888888889,28.622222222222224
