Country,Inequality_adjusted_income_index,Inequality_in_education_perc,EdInd
Peru,0.48777777777777775,21.944444444444446,0.6804444444444444
Philippines,0.47844444444444445,12.21111111111111,0.653
Poland,0.68533333333333335,5.766666666666667,0.8485555555555555
Portugal,0.6696666666666667,9.333333333333334,0.7457777777777778
Romania,0.6444444444444445,6.111111111111111,0.7675555555555555
Russian Federation,0.6916666666666667,4.5625,0.8074444444444444
Rwanda,0.274,29.644444444444446,0.44433333333333336
Saint Lucia,0.5164,10.559999999999999,0.6533333333333333
Sao Tome and Principe,0.36162500000000003,19.944444444444443,0.5084444444444445
Senegal,0.38022222222222224,45.422222222222224,0.3377777777777778
Serbia,0.6176666666666667,9.255555555555555,0.7566666666666667
Sierra Leone,0.3041111111111111,47.78888888888889,0.37633333333333335
Singapore,0.75,9.333333333333334,0.822
Slovakia,0.7474444444444445,1.5333333333333334,0.8201111111111111
Slovenia,0.765,2.7666666666666666,0.8797777777777778
Solomon Islands,0.341,24.65,0.4677777777777778
South Africa,0.3308333333333333,17.366666666666667,0.7042222222222222
South Sudan,0.276,39.6,0.30944444444444447
Spain,0.6872222222222222,9.700000000000001,0.8087777777777778
Sri Lanka,0.5708888888888889,13.733333333333333,0.7474444444444445
Sudan,0.36566666666666664,42.58,0.32366666666666666
Suriname,0.4727777777777778,18.244444444444444,0.64
Sweden,0.8056666666666666,3.6444444444444444,0.892
Switzerland,0.82,3.3222222222222224,0.8894444444444445
Syrian Arab Republic,0.4481428571428571,31.5,0.4652222222222222
Tajikistan,0.4414444444444445,8.355555555555556,0.6685555555555556
Tanzania (United Republic of),0.38133333333333336,28.58888888888889,0.41966666666666663
Thailand,0.5206666666666666,16.72222222222222,0.6363333333333333
Timor-Leste,0.533,46.611111111111114,0.49933333333333335
Togo,0.31222222222222223,39.62222222222222,0.493
Trinidad and Tobago,0.669375,6.6,0.7134444444444444
Tunisia,0.5625714285714285,35.51428571428571,0.6434444444444445
Turkey,0.6218888888888889,18.766666666666666,0.6854444444444444
Turkmenistan,0.52425,5.25,0.6266666666666667
Uganda,0.31122222222222223,29.755555555555556,0.4971111111111111
Ukraine,0.5953333333333333,4.344444444444444,0.7927777777777778
United Kingdom,0.7342222222222222,3.3666666666666667,0.9023333333333333
United States,0.6741111111111111,5.155555555555556,0.8956666666666667
Uruguay,0.5833333333333333,9.544444444444444,0.7273333333333333
Uzbekistan,0.4807142857142857,1.2444444444444445,0.6995555555555555
Vanuatu,0.4076666666666667,17.5,0.5337777777777778
Venezuela (Bolivarian Republic of),0.5112222222222222,15.8,0.7091111111111111
Viet Nam,0.48833333333333334,17.522222222222222,0.6124444444444445
Yemen,0.3983333333333333,47.9,0.34022222222222226
Zambia,0.31877777777777777,22.677777777777777,0.5412222222222223
Zimbabwe,0.31366666666666665,17.88888888888889,0.5523333333333333
