"Inequality in life expectancy (%)"
"HDI Rank (2018)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"93","Lebanon","..","","13.5","","13.5","","6.7","","6.7","","7.2","","6.7"," a","6.7"," a","7.4",""
"164","Lesotho","36.6","","34.3","","34.3","","33.5","","33.5","","33.5","","28.5"," a","28.5"," a","33.1",""
"176","Liberia","43.3","","37.6","","37.6","","33.1","","33.1","","33.1","","27.5"," a","27.5"," a","29.8",""
"110","Libya","12.1","","9.7","","9.7","","10.1","","10.1","","15.8","","14.1"," a","14.1"," a","9.1",""
"34","Lithuania","8.8","","7.2","","7.2","","6.6","","6.6","","5.5","","5.4"," a","5.4"," a","5.5",""
"21","Luxembourg","4.8","","3.5","","3.5","","3.3","","3.3","","2.6","","3.4"," a","3.4"," a","3.4",""
"162","Madagascar","36.4","","25.6","","25.6","","24.8","","24.8","","24.8","","21.3"," a","21.3"," a","21.1",""
"172","Malawi","40.3","","39.9","","39.9","","40.0","","40.0","","32.7","","30.3"," a","30.3"," a","25.1",""
"61","Malaysia","8.0","","6.7","","6.7","","4.9","","4.9","","6.7","","5.9"," a","5.9"," a","6.1",""
"104","Maldives","15.5","","7.3","","7.3","","8.1","","8.1","","7.1","","5.7"," a","5.7"," a","6.0",""
"184","Mali","50.1","","46.3","","46.3","","45.6","","45.6","","40.4","","36.8"," a","36.8"," a","36.7",""
"28","Malta","5.6","","5.1","","5.1","","4.8","","4.8","","4.5","","4.0"," a","4.0"," a","4.6",""
"161","Mauritania","38.9","","36.2","","36.2","","36.6","","36.6","","33.7","","32.6"," a","32.6"," a","30.0",""
"66","Mauritius","11.4","","9.8","","9.8","","9.2","","9.2","","9.8","","8.9"," a","8.9"," a","9.4",""
"76","Mexico","12.3","","10.9","","10.9","","10.9","","10.9","","13.2","","12.3"," a","12.3"," a","10.4",""
"135","Micronesia (Federated States of)","20.5","","19.2","","19.2","","19.8","","19.8","","19.8","","19.0"," a","19.0"," a","16.1",""
"107","Moldova (Republic of)","13.1","","11.2","","11.2","","11.0","","11.0","","9.0","","9.6"," a","9.6"," a","9.6",""
"92","Mongolia","22.6","","18.8","","18.8","","16.6","","16.6","","17.1","","13.4"," a","13.4"," a","13.1",""
"52","Montenegro","7.3","","6.8","","6.8","","7.6","","7.6","","5.2","","4.4"," a","4.4"," a","3.6",""
"121","Morocco","18.3","","16.7","","16.7","","16.8","","16.8","","16.0","","14.0"," a","14.0"," a","13.0",""
"180","Mozambique","45.7","","40.8","","40.8","","40.2","","40.2","","36.4","","35.6"," a","35.6"," a","29.8",""
"145","Myanmar","38.2","","25.3","","25.3","","27.1","","27.1","","26.0","","24.0"," a","24.0"," a","22.8",""
"130","Namibia","24.5","","21.1","","21.1","","21.7","","21.7","","21.7","","20.2"," a","20.2"," a","22.1",""
"147","Nepal","24.3","","19.5","","19.5","","21.1","","21.1","","19.6","","16.6"," a","16.6"," a","17.5",""
"10","Netherlands","4.6","","4.3","","4.3","","3.9","","3.9","","3.7","","3.0"," a","3.0"," a","3.1",""
"14","New Zealand","5.0","","5.2","","5.2","","4.8","","4.8","","4.6","","4.3"," a","4.3"," a","4.3",""
"126","Nicaragua","15.6","","13.9","","13.9","","13.2","","13.2","","14.6","","12.9"," a","12.9"," a","13.1",""
"189","Niger","46.8","","42.6","","42.6","","37.9","","37.9","","35.3","","34.9"," a","34.9"," a","30.9",""
"158","Nigeria","51.1","","43.8","","43.8","","40.8","","40.8","","40.8","","37.4"," a","37.4"," a","37.1",""
"82","North Macedonia","10.4","","9.4","","9.4","","7.6","","7.6","","7.6","","6.5"," a","6.5"," a","7.9",""
"1","Norway","4.0","","3.7","","3.7","","3.4","","3.4","","3.3","","2.7"," a","2.7"," a","3.0",""
"47","Oman","..","","7.2","","7.2","","7.0","","7.0","","7.0","","7.1"," a","7.1"," a","6.7",""
"152","Pakistan","32.9","","32.3","","32.3","","29.9","","29.9","","32.8","","31.0"," a","31.0"," a","29.9",""
"119","Palestine, State of","..","","13.1","","13.1","","13.1","","13.1","","13.7","","12.2"," a","12.2"," a","12.0",""
"67","Panama","13.6","","12.4","","12.4","","12.1","","12.1","","11.5","","11.5"," a","11.5"," a","12.0",""
"155","Papua New Guinea","28.5","","25.2","","25.2","","26.5","","26.5","","26.5","","25.3"," a","25.3"," a","24.1",""
"98","Paraguay","19.9","","17.8","","17.8","","19.2","","19.2","","18.3","","18.0"," a","18.0"," a","13.8",""
"82","Peru","16.5","","14.8","","14.8","","13.9","","13.9","","14.2","","13.2"," a","13.2"," a","10.8",""
"106","Philippines","15.0","","15.2","","15.2","","15.2","","15.2","","16.2","","14.4"," a","14.4"," a","15.3",""
"32","Poland","6.4","","5.8","","5.8","","5.7","","5.7","","5.2","","4.7"," a","4.7"," a","4.3",""
"40","Portugal","4.8","","4.9","","4.9","","3.9","","3.9","","3.9","","2.9"," a","2.9"," a","3.5",""
"41","Qatar","7.4","","7.2","","7.2","","6.0","","6.0","","6.1","","5.9"," a","5.9"," a","5.7",""
"52","Romania","10.9","","9.6","","9.6","","8.8","","8.8","","8.4","","6.8"," a","6.8"," a","6.3",""
"49","Russian Federation","11.5","","10.8","","10.8","","9.8","","9.8","","8.8","","8.0"," a","8.0"," a","7.1",""
"157","Rwanda","47.4","","41.3","","41.3","","30.2","","30.2","","29.8","","23.8"," a","23.8"," a","19.5",""
"89","Saint Lucia","..","","10.4","","10.4","","9.9","","9.9","","10.1","","9.0"," a","9.0"," a","10.6",""
"94","Saint Vincent and the Grenadines","..","","14.0","","14.0","","12.9","","13.0","","12.7","","11.9"," a","11.9"," a","11.3",""
"111","Samoa","..","","13.4","","13.4","","13.3","","13.3","","13.3","","11.4"," a","11.4"," a","10.0",""
"137","Sao Tome and Principe","34.4","","28.8","","28.8","","26.9","","26.9","","26.9","","25.9"," a","25.9"," a","17.0",""
"36","Saudi Arabia","12.7","","11.5","","11.5","","8.7","","8.7","","11.0","","8.9"," a","8.9"," a","6.4",""
"166","Senegal","37.4","","30.7","","30.7","","29.5","","29.5","","25.0","","21.1"," a","21.1"," a","21.2",""
"63","Serbia","9.0","","8.3","","8.3","","8.5","","8.5","","7.9","","7.1"," a","7.1"," a","4.9",""
"62","Seychelles","..","","..","","..","","7.9","","7.9","","9.0","","7.7"," a","7.7"," a","9.6",""
"181","Sierra Leone","44.5","","45.3","","45.3","","51.2","","51.2","","43.4","","39.8"," a","39.8"," a","39.0",""
"9","Singapore","3.8","","2.9","","2.9","","2.8","","2.8","","3.0","","2.6"," a","2.6"," a","2.5",""
"36","Slovakia","6.5","","5.7","","5.7","","5.6","","5.6","","5.3","","5.2"," a","5.2"," a","5.0",""
"24","Slovenia","4.3","","4.1","","4.1","","3.8","","3.8","","3.6","","3.0"," a","3.0"," a","2.9",""
"153","Solomon Islands","25.2","","20.7","","20.7","","22.3","","22.3","","22.3","","15.9"," a","15.9"," a","12.1",""
"..","Somalia","..","","47.1","","..","","42.1","","42.1","","42.1","","38.9"," a","38.9"," a","38.9",""
"113","South Africa","30.2","","28.4","","28.4","","25.7","","25.7","","25.7","","20.3"," a","20.3"," a","19.2",""
"186","South Sudan","..","","..","","..","","40.8","","40.8","","40.7","","37.0"," a","37.0"," a","36.2",""
"25","Spain","4.4","","4.1","","4.1","","3.9","","3.9","","3.5","","3.0"," a","3.0"," a","3.0",""
