"Primary school dropout rate (% of primary school cohort)"
"184","Mali","..","","..","","16.6","","26.5","","24.5","","38.4","","..","","..","","..","","..","","..","","..",""
"28","Malta","..","","..","","2.1","","..","","4.3","","5.5","","1.7","","3.1","","3.4","","..","","..","","..",""
"117","Marshall Islands","..","","..","","..","","21.6","","..","","..","","..","","..","","..","","..","","..","","..",""
"161","Mauritania","27.3","","43.6","","..","","55.4","","..","","..","","35.9","","..","","..","","..","","28.8","","..",""
"66","Mauritius","2.7","","..","","2.6","","2.3","","2.6","","2.7","","4.2","","1.8","","4.0","","3.5","","5.0","","..",""
"76","Mexico","28.4","","16.1","","12.8","","7.9","","5.0","","4.2","","5.4","","4.3","","4.3","","7.8","","1.3","","..",""
"107","Moldova (Republic of)","..","","..","","10.5","","3.0","","4.6","","4.2","","5.4","","4.9","","5.2","","5.2","","5.0","","..",""
"92","Mongolia","..","","8.1","","11.1","","..","","..","","..","","..","","..","","..","","2.1","","2.7","","..",""
"52","Montenegro","..","","..","","..","","..","","..","","19.5","","..","","..","","..","","6.8","","2.0","","..",""
"121","Morocco","26.5","","28.1","","26.7","","26.3","","10.6","","11.8","","8.4","","10.7","","11.2","","7.4","","4.9","","..",""
"180","Mozambique","67.1","","..","","67.0","","60.9","","73.0","","69.4","","68.4","","69.3","","66.8","","..","","..","","..",""
"145","Myanmar","..","","..","","44.8","","28.5","","..","","..","","..","","..","","..","","..","","24.6","","..",""
"130","Namibia","..","","33.4","","18.4","","23.1","","..","","..","","9.4","","..","","..","","..","","..","","..",""
"147","Nepal","..","","..","","..","","..","","..","","..","","44.7","","39.6","","29.9","","23.1","","26.5","","..",""
"126","Nicaragua","56.1","","..","","48.2","","49.8","","..","","..","","..","","..","","..","","..","","..","","..",""
"189","Niger","19.9","","50.0","","30.9","","..","","30.7","","..","","39.7","","35.6","","..","","..","","..","","..",""
"158","Nigeria","..","","..","","..","","22.3","","..","","..","","..","","..","","..","","..","","..","","..",""
"82","North Macedonia","..","","1.4","","3.4","","5.6","","..","","..","","3.0","","3.6","","2.6","","..","","..","","..",""
"1","Norway","1.0","","..","","1.0","","0.8","","0.7","","1.5","","1.5","","0.4","","0.5","","0.4","","0.9","","..",""
"47","Oman","..","","6.3","","5.5","","..","","..","","6.4","","1.3","","..","","1.9","","0.9","","1.9","","..",""
"152","Pakistan","..","","..","","..","","..","","47.8","","39.0","","37.6","","20.4","","..","","22.7","","..","","..",""
"119","Palestine, State of","..","","0.7","","2.2","","..","","3.7","","0.7","","3.5","","2.5","","3.1","","1.7","","1.1","","..",""
"67","Panama","..","","..","","13.8","","14.8","","6.2","","8.4","","6.8","","14.0","","..","","..","","..","","..",""
"155","Papua New Guinea","47.8","","42.1","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Paraguay","37.0","","27.6","","..","","23.8","","19.9","","15.9","","..","","..","","..","","..","","..","","..",""
"82","Peru","..","","..","","19.1","","15.1","","..","","..","","..","","9.5","","..","","..","","6.9","","..",""
"106","Philippines","..","","..","","..","","29.6","","..","","..","","..","","..","","14.9","","12.5","","..","","..",""
"32","Poland","5.2","","2.3","","0.8","","1.6","","1.5","","1.5","","2.2","","2.2","","2.1","","2.0","","..","","..",""
"41","Qatar","..","","4.0","","..","","14.8","","..","","..","","2.3","","..","","..","","1.5","","3.8","","..",""
"52","Romania","..","","1.2","","5.5","","6.3","","5.2","","6.0","","..","","..","","..","","..","","..","","..",""
"49","Russian Federation","..","","..","","1.8","","..","","..","","3.4","","2.7","","3.6","","0.7","","2.8","","..","","..",""
"157","Rwanda","49.9","","..","","68.9","","..","","..","","64.4","","65.3","","65.4","","55.3","","41.9","","42.9","","..",""
"73","Saint Kitts and Nevis","..","","..","","26.3","","..","","..","","19.9","","7.2","","..","","4.6","","..","","..","","..",""
"89","Saint Lucia","..","","..","","..","","..","","8.2","","10.4","","..","","9.9","","..","","..","","7.5","","..",""
"94","Saint Vincent and the Grenadines","..","","..","","..","","..","","31.4","","..","","..","","7.1","","10.3","","8.7","","12.2","","..",""
"111","Samoa","..","","18.1","","9.4","","15.3","","23.4","","10.1","","..","","..","","9.3","","6.7","","13.2","","..",""
"..","San Marino","..","","..","","..","","..","","..","","3.8","","..","","..","","..","","..","","..","","..",""
