"Literacy rate, adult (% ages 15 and older)"
"62","Seychelles","..","","..","","..","","..","","94.0","","..","","..","","..","","..","","..","","..","","..","","..",""
"181","Sierra Leone","..","","..","","..","","..","","..","","..","","..","","32.4","","..","","..","","..","","..","","..",""
"9","Singapore","89.1","","..","","92.5","","..","","95.9","","96.2","","96.4","","96.5","","96.7","","96.8","","97.0","","..","","..",""
"24","Slovenia","..","","..","","..","","..","","..","","..","","..","","..","","99.7","","..","","..","","..","","..",""
"113","South Africa","..","","..","","..","","..","","92.9","","93.1","","93.7","","..","","94.1","","94.4","","..","","..","","..",""
"25","Spain","..","","..","","..","","97.8","","97.7","","97.8","","97.9","","98.1","","98.1","","98.1","","98.3","","..","","..",""
"71","Sri Lanka","..","","..","","..","","..","","91.2","","..","","..","","..","","..","","..","","92.4","","91.9","","..",""
"168","Sudan","..","","..","","61.3","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Suriname","..","","..","","..","","..","","94.7","","..","","92.9","","..","","..","","..","","..","","..","","..",""
"125","Tajikistan","..","","..","","99.5","","..","","..","","..","","..","","..","","99.8","","..","","..","","..","","..",""
"159","Tanzania (United Republic of)","..","","..","","..","","..","","67.8","","..","","78.1","","..","","..","","77.9","","..","","..","","..",""
"77","Thailand","..","","..","","92.6","","93.5","","96.4","","..","","..","","93.7","","..","","92.9","","..","","..","","..",""
"131","Timor-Leste","..","","..","","..","","..","","58.3","","..","","..","","..","","..","","..","","..","","..","","..",""
"167","Togo","..","","..","","53.2","","..","","..","","60.4","","..","","..","","..","","63.7","","..","","..","","..",""
"105","Tonga","..","","..","","..","","..","","..","","99.4","","..","","..","","..","","..","","..","","..","","..",""
"63","Trinidad and Tobago","96.9","","..","","97.9","","..","","98.7","","..","","..","","..","","..","","..","","..","","..","","..",""
"91","Tunisia","..","","..","","..","","..","","79.1","","79.7","","80.2","","..","","79.0","","..","","..","","..","","..",""
"59","Turkey","79.2","","..","","..","","88.2","","92.7","","94.1","","94.9","","95.3","","95.4","","95.6","","96.2","","..","","..",""
"108","Turkmenistan","..","","98.8","","..","","..","","..","","..","","..","","..","","99.7","","..","","..","","..","","..",""
"159","Uganda","..","","..","","..","","..","","73.2","","..","","70.2","","..","","..","","..","","..","","..","","..",""
"88","Ukraine","..","","..","","..","","..","","..","","..","","100.0","","..","","..","","..","","..","","..","","..",""
"35","United Arab Emirates","..","","..","","..","","90.0","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"57","Uruguay","..","","..","","..","","..","","98.1","","98.3","","98.4","","98.4","","98.4","","98.5","","98.6","","98.6","","..",""
"108","Uzbekistan","..","","..","","98.6","","..","","..","","..","","..","","100.0","","100.0","","100.0","","100.0","","..","","..",""
"141","Vanuatu","..","","..","","..","","..","","..","","..","","..","","..","","84.7","","..","","..","","..","","..",""
"96","Venezuela (Bolivarian Republic of)","89.8","","..","","..","","..","","..","","94.8","","..","","..","","..","","96.6","","97.1","","..","","..",""
"118","Viet Nam","..","","..","","90.2","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"143","Zambia","65.0","","..","","..","","..","","83.0","","..","","..","","..","","..","","..","","..","","..","","..",""
"150","Zimbabwe","..","","..","","..","","..","","..","","83.6","","..","","..","","88.7","","..","","..","","..","","..",""
"36","Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"6","Australia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"20","Austria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"17","Belgium","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"60","Bahamas","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"50","Belarus","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"103","Belize","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"13","Canada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"2","Switzerland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"26","Czechia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"4","Germany","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"171","Djibouti","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"11","Denmark","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"82","Algeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"182","Eritrea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"12","Finland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Fiji","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"26","France","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"135","Micronesia (Federated States of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"15","United Kingdom","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"4","Hong Kong, China (SAR)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"169","Haiti","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"3","Ireland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"6","Iceland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"22","Israel","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19","Japan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"122","Kyrgyzstan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"132","Kiribati","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"73","Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"22","Korea (Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"93","Lebanon","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"176","Liberia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"110","Libya","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"89","Saint Lucia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"18","Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"21","Luxembourg","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"158","Nigeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"10","Netherlands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"1","Norway","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"14","New Zealand","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"32","Poland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"153","Solomon Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"186","South Sudan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"36","Slovakia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"8","Sweden","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"154","Syrian Arab Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"15","United States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"94","Saint Vincent and the Grenadines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"177","Yemen","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","High human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Medium human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Low human development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Developing Countries","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Regions"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","East Asia and the Pacific","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Europe and Central Asia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Latin America and the Caribbean","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","South Asia","..","","..","","..","","..","","..","","66.2","","..","","..","","..","","..","","..","","..","","..",""
" ","Sub-Saharan Africa","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Least Developed Countries","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Small Island Developing States","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Organization for Economic Co-operation and Development","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","World","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
""
