"87","Lithuania",4.9,13.8,10.6,11.1,7,6.9,6.7,6.6,5.4,5.9,5.2,4.5
"88","Luxembourg",NA,0.5,0.9,0.9,2,0.8,0,0.2,0.7,0.9,0.9,0.3
"89","Malawi",NA,NA,6.2,1.5,3.4,2.2,1.7,NA,NA,NA,NA,NA
"90","Malaysia",1.7,1.9,2.4,2.4,1.9,1.9,2.1,2.1,NA,NA,NA,NA
"91","Maldives",0.4,0.8,NA,NA,1.6,0.8,2.6,0.8,NA,NA,NA,NA
"92","Malta",1.1,NA,1,1,1,0.7,2.9,1.7,1.4,0.9,NA,NA
"93","Mauritius",1.9,2.2,2.2,3,2.6,2.7,2.3,2.8,1.5,1.7,1.8,NA
"94","Mexico",17,16.6,10.6,9.1,22,22.9,21.5,18.8,16.1,16.5,19.3,24.8
"95","Moldova (Republic of)",6.6,9.3,10.3,7.1,6.5,7.5,5.6,4.2,3.2,NA,NA,NA
"96","Monaco",NA,NA,NA,3,0,0,0,0,NA,0,NA,NA
"97","Mongolia",NA,NA,NA,15.8,8.8,9.6,7.1,7.1,7.3,6.2,5.7,6.2
"98","Montenegro",NA,NA,NA,3.6,2.4,3.4,2.7,1.6,3.2,2.7,4.5,2.4
"99","Morocco",0.4,NA,1.6,1.5,1.4,1.3,1.1,1.3,1,1.2,1.7,2.1
"100","Mozambique",NA,NA,NA,5.2,3.6,3.4,NA,NA,NA,NA,NA,NA
"101","Myanmar",5,3.7,2.3,1.4,1.6,2.1,2.8,2.4,2.4,2.2,2.3,NA
"102","Namibia",NA,22.5,20,NA,14.4,13.9,17.1,NA,NA,NA,NA,NA
"103","Nepal",1.9,NA,2.7,3.4,3,2.5,2.3,2.2,2,NA,2.2,NA
"104","Netherlands",0.9,1.2,1.1,1.1,0.9,0.9,0.9,0.7,0.7,0.6,0.6,0.8
"105","New Zealand",1.9,1.1,1.3,1.5,1,0.9,0.9,1,0.9,1,1.1,0.7
"106","Nicaragua",16.2,15.3,9.5,13.6,13.7,12.7,11.5,10,8.7,8.6,7.4,NA
"107","Niger",NA,NA,NA,NA,NA,4.9,4.4,NA,NA,NA,NA,NA
"108","North Macedonia",NA,NA,2.3,2.1,2.1,1.4,1.4,1.1,1.7,1.2,0.9,1.5
"109","Norway",1.1,1,1.1,0.7,0.6,2.2,0.5,0.9,0.6,0.5,0.5,0.5
"110","Oman",NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,0.5
"111","Pakistan",7.6,NA,6.4,6.4,7.7,8,7.8,7.7,7.2,5,4.4,4.2
"112","Palestine, State of",NA,1.2,NA,2.4,0.8,0.6,0.6,0.5,0.8,1,0.7,NA
"113","Panama",11.3,13.8,9.9,10.9,12.6,14.8,16.9,17.3,15.5,11.9,10,9.7
"114","Papua New Guinea",NA,NA,8.3,9.5,10,NA,NA,NA,NA,NA,NA,NA
"115","Paraguay",NA,NA,18.8,15.3,11.9,10.4,10.2,9.3,8.8,9.3,8.9,NA
"116","Peru",NA,NA,NA,NA,NA,5.4,6.5,6.6,6.7,7.2,7.7,7.7
"117","Philippines",15,NA,7.4,7.5,9.2,8.9,8.8,9.3,9.7,9.5,11,8.4
"118","Poland",1.8,2.2,2.2,1.4,1,1.1,1.1,0.8,0.7,0.8,0.7,0.8
"119","Portugal",1.6,1.1,1.1,1.3,1.2,1.1,1.2,1.4,0.9,1,0.6,0.7
"120","Qatar",0.8,NA,0.2,0.7,0.2,0.2,0.3,0.4,0.4,NA,NA,NA
"121","Romania",3.4,3.3,2.6,2.1,2,1.7,1.9,1.7,1.5,1.5,1.2,1.5
"122","Russian Federation",14.3,30.5,28.1,24.8,NA,NA,11.3,11.2,11.5,11.6,11,9.2
"123","Rwanda",NA,NA,NA,NA,2.8,NA,2.4,3.2,3.8,2.5,NA,NA
"124","Saint Kitts and Nevis",NA,9.3,6.6,16.5,40.8,65.4,34.2,NA,NA,NA,NA,NA
"125","Saint Lucia",10.1,10.9,14.7,25,25.5,26.5,22.3,18.8,19.3,15.8,16.9,29.6
"126","Saint Vincent and the Grenadines",10.2,18.5,18.5,23.9,22.9,19.2,25.6,NA,NA,NA,36.5,NA
"127","Samoa",NA,NA,NA,NA,8.6,NA,NA,3.1,NA,NA,NA,NA
"128","San Marino",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"129","Sao Tome and Principe",7,NA,NA,NA,3.4,3.4,NA,NA,NA,NA,NA,NA
"130","Saudi Arabia",NA,NA,0.8,1.2,NA,NA,NA,NA,NA,1.5,NA,1.3
"131","Serbia",NA,NA,2.4,1.6,1.4,1.5,1.2,1.6,1.4,1.2,1.4,1.1
"132","Seychelles",NA,NA,NA,NA,9.8,17.4,4.3,19.4,17.2,7.5,12.7,NA
"133","Sierra Leone",NA,NA,NA,1.7,2.5,2.8,1.7,NA,NA,1.7,NA,NA
"134","Singapore",1.6,1.6,1,0.5,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.2
"135","Slovakia",1.8,2.4,2.4,1.7,1.5,1.6,1.2,1.3,1.3,0.8,1,1.5
"136","Slovenia",2,2.2,1.8,1,0.7,0.8,0.7,0.6,0.8,1,0.5,0.9
"137","Solomon Islands",NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA
"138","South Africa",NA,63.9,47.6,38,30.8,29.8,30.6,31.7,32.6,33.8,34,35.9
"139","South Sudan",NA,NA,NA,NA,NA,NA,13.9,NA,NA,NA,NA,NA
"140","Spain",1.2,1,1.4,1.2,0.9,0.8,0.8,0.6,0.7,0.7,0.6,0.7
"141","Sri Lanka",11.5,8.8,NA,6.2,3.8,3.6,3.3,3,2.7,2.4,2.5,2.3
"142","Suriname",NA,NA,14.4,13.8,NA,NA,NA,5.3,5.8,6.1,7.3,5.5
"143","Sweden",1.1,1,1.1,0.9,1,0.9,0.7,0.9,0.9,1.1,1.1,1.1
"144","Switzerland",1.6,1.2,1,1,0.7,0.6,0.6,0.7,0.5,0.7,0.5,0.5
"145","Syrian Arab Republic",NA,NA,2.2,2.4,2.2,NA,NA,NA,NA,NA,NA,NA
"146","Tajikistan",3.2,7.5,4.6,2.3,2.4,1.6,NA,NA,NA,NA,NA,NA
"147","Tanzania (United Republic of)",NA,7,NA,NA,8.4,8.7,8.3,7.3,7.5,7,6.2,NA
"148","Thailand",9.4,7.6,8.2,7.3,5.4,4.9,4.9,4.2,3.9,3.5,3.2,NA
"149","Timor-Leste",NA,NA,NA,4.5,3.5,NA,NA,NA,NA,3.9,NA,NA
"150","Tonga",NA,2.1,1,4,1,1.9,1,NA,NA,NA,NA,NA
"151","Trinidad and Tobago",NA,NA,9.5,29.8,35.6,26.4,28.3,30.2,29.9,30.9,NA,NA
"152","Tunisia",NA,NA,NA,2.6,2.7,NA,3,NA,NA,NA,NA,NA
"153","Turkey",NA,NA,NA,4.9,4.2,4.2,4.3,NA,NA,NA,NA,NA
"154","Turkmenistan",9,6.4,5.9,4.3,NA,NA,NA,NA,NA,NA,NA,NA
"155","Tuvalu",NA,NA,NA,0,9.5,9.4,18.6,NA,NA,NA,NA,NA
"156","Uganda",NA,8.3,NA,8.7,9.3,10.7,11.2,10.3,11.5,NA,10.8,11
"157","Ukraine",5,8.7,9,6.5,4.3,NA,5.2,NA,6.3,NA,NA,6.2
"158","United Arab Emirates",NA,NA,NA,1.2,0.8,0.6,0.8,0.6,0.7,0.7,0.7,0.5
"159","United Kingdom",1.2,1.6,1.6,1.4,1.2,1,1,0.9,0.9,1,1.2,1.2
"160","United States",9.3,8.1,5.5,5.7,4.8,4.7,4.7,4.5,4.5,5,5.4,5.3
"161","Uruguay",6.6,5.9,6.4,5.7,6.1,5.9,7.9,7.6,7.8,8.5,7.8,8.2
"162","Uzbekistan",5.5,5.1,4.3,3.4,NA,NA,NA,NA,1.5,1.6,1.4,1.1
"163","Venezuela (Bolivarian Republic of)",12.5,20.2,32.8,37.2,45.1,47.8,53.8,NA,61.9,NA,56.3,NA
"164","Viet Nam",NA,NA,NA,1.2,1.5,1.5,NA,NA,NA,NA,NA,NA
"165","Yemen",NA,NA,3.9,4.6,4.7,5.7,6.5,6.7,NA,NA,NA,NA
"166","Zambia",6.9,NA,7.6,NA,5.9,6,6,5.7,5.3,5.3,NA,NA
"167","Zimbabwe",5.8,NA,NA,10.4,5,NA,6.7,NA,NA,NA,NA,NA
"168","Côte d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Congo (Democratic Republic of the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Micronesia (Federated States of)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Gabon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Lao People's Democratic Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Libya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Madagascar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Mali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Mauritania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Senegal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Togo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Vanuatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
