Country,Prison.popn.2003,,Prison.popn.2005,,Prison.popn.2010,,Prison.popn.2011,,Prison.popn.2012,,Prison.popn.2013,,Prison.popn.2014,,Prison.popn.2015,,Prison.popn.2016,,Prison.popn.2017,
"Palestine, State of",125,,220,,308,,303,,345,,286,,315,,206,,170,,..,
Panama,..,,368,,344,,356,,384,,377,,402,,424,,411,,394,
Papua New Guinea,..,,64,,60,,..,,47,,..,,59,,61,,61,,..,
Paraguay,..,,108,,100,,114,,128,,143,,166,,194,,198,,206,
Peru,107,,120,,155,,165,,204,,221,,232,,246,,258,,278,
Philippines,..,,..,,102,,106,,110,,112,,124,,137,,165,,..,
Poland,206,,221,,215,,216,,223,,209,,207,,190,,189,,195,
Portugal,132,,122,,111,,122,,131,,138,,136,,138,,134,,132,
Qatar,83,,60,,..,,59,,..,,51,,..,,..,,..,,..,
Romania,197,,171,,138,,151,,158,,167,,151,,143,,139,,119,
Russian Federation,..,,573,,571,,527,,489,,472,,467,,449,,438,,418,
Rwanda,..,,..,,537,,..,,516,,..,,472,,467,,..,,500,
Saint Kitts and Nevis,412,,..,,548,,665,,696,,621,,622,,..,,401,,400,
Saint Lucia,286,,307,,305,,..,,325,,..,,359,,..,,314,,294,
Saint Vincent and the Grenadines,..,,335,,950,,1160,,421,,..,,377,,..,,419,,426,
Samoa,..,,..,,..,,228,,..,,..,,250,,259,,..,,204,
San Marino,..,,..,,..,,..,,..,,..,,..,,6,,..,,9,
Sao Tome and Principe,..,,100,,175,,..,,119,,..,,105,,91,,..,,123,
Saudi Arabia,..,,..,,..,,174,,..,,157,,..,,..,,..,,207,
Senegal,..,,226,,229,,..,,62,,..,,59,,..,,62,,59,
Serbia,80,,88,,124,,123,,114,,112,,116,,114,,121,,123,
Seychelles,200,,183,,473,,..,,681,,..,,820,,..,,..,,445,
Sierra Leone,..,,31,,35,,..,,41,,47,,51,,48,,45,,60,
Singapore,409,,322,,268,,254,,246,,249,,235,,228,,222,,205,
Slovakia,164,,165,,186,,195,,200,,180,,184,,182,,184,,192,
Slovenia,54,,57,,66,,62,,67,,66,,73,,67,,63,,63,
Solomon Islands,..,,63,,51,,..,,53,,57,,49,,46,,73,,78,
South Africa,380,,322,,317,,305,,298,,291,,284,,289,,..,,279,
South Sudan,..,,..,,..,,..,,..,,..,,..,,55,,..,,..,
Spain,132,,139,,158,,150,,146,,143,,140,,133,,128,,127,
Sri Lanka,..,,113,,129,,114,,114,,132,,96,,92,,84,,99,
Sudan,41,,..,,..,,57,,..,,52,,..,,..,,..,,52,
Suriname,..,,164,,..,,190,,..,,194,,183,,..,,..,,..,
Sweden,75,,82,,73,,70,,66,,60,,60,,58,,58,,58,
Switzerland,72,,83,,74,,71,,76,,82,,79,,78,,78,,77,
Syrian Arab Republic,68,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Tajikistan,152,,..,,122,,..,,..,,..,,..,,..,,..,,..,
Tanzania (United Republic of),..,,118,,..,,81,,68,,72,,65,,64,,..,,..,
Thailand,..,,248,,314,,332,,346,,411,,465,,471,,473,,540,
Timor-Leste,33,,..,,..,,23,,26,,..,,..,,47,,..,,51,
Togo,59,,..,,63,,..,,61,,..,,62,,60,,59,,62,
Tonga,..,,127,,153,,..,,151,,..,,166,,..,,..,,..,
Trinidad and Tobago,..,,291,,278,,321,,277,,268,,249,,548,,..,,292,
Tunisia,..,,..,,..,,195,,..,,227,,..,,209,,..,,180,
Turkey,97,,82,,166,,175,,183,,190,,207,,228,,253,,322,
Turkmenistan,332,,283,,521,,..,,..,,570,,..,,..,,..,,529,
Tuvalu,..,,70,,76,,..,,112,,..,,101,,..,,..,,..,
Uganda,67,,67,,92,,91,,97,,105,,109,,112,,123,,126,
Ukraine,402,,365,,336,,338,,..,,326,,..,,..,,137,,129,
United Arab Emirates,..,,217,,..,,..,,110,,111,,108,,..,,..,,..,
United Kingdom,139, b,138, b,149, b,149, b,149, b,143, b,144, b,144, b,141, b,141, b
United States,742,,746,,738,,724,,712,,707,,700,,679,,671,,..,
Uruguay,196,,187,,258,,268,,277,,277,,279,,291,,307,,320,
Uzbekistan,186,,..,,..,,..,,142,,..,,144,,..,,..,,..,
Vanuatu,47,,66,,79,,..,,78,,..,,58,,87,,71,,..,
Venezuela (Bolivarian Republic of),..,,..,,141,,..,,151,,..,,167,,159,,173,,179,
Viet Nam,..,,105,,..,,126,,144,,..,,154,,146,,138,,136,
Yemen,84,,29,,53,,43,,..,,55,,..,,..,,..,,..,
Zambia,116,,119,,120,,..,,116,,112,,110,,115,,114,,146,
Zimbabwe,167,,139,,95,,..,,115,,112,,113,,120,,..,,118,
Eritrea,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
